chunk,rep,DGP,n,bs,sq,cv,dt,fd,tam,tdip,tzdip
8,400,A6,250,,,,1,0,1,0,0
8,401,A6,250,,,,1,0,0,0,0
8,402,A6,250,,,,1,0,1,0,0
8,403,A6,250,,,,1,0,0,0,0
8,404,A6,250,,,,1,0,0,0,0
8,405,A6,250,,,,1,0,0,0,0
8,406,A6,250,,,,1,0,0,0,0
8,407,A6,250,,,,0,1,0,0,0
8,408,A6,250,,,,1,0,0,0,0
8,409,A6,250,,,,1,0,0,0,0
8,410,A6,250,,,,0,1,0,0,0
8,411,A6,250,,,,1,0,0,0,0
8,412,A6,250,,,,0,1,0,0,0
8,413,A6,250,,,,1,0,0,0,0
8,414,A6,250,,,,1,0,0,0,0
8,415,A6,250,,,,1,0,0,0,0
8,416,A6,250,,,,1,0,0,0,0
8,417,A6,250,,,,1,0,1,0,0
8,418,A6,250,,,,0,1,0,0,0
8,419,A6,250,,,,1,0,0,0,0
8,420,A6,250,,,,1,0,0,0,0
8,421,A6,250,,,,0,1,0,0,0
8,422,A6,250,,,,1,0,0,0,0
8,423,A6,250,,,,1,0,0,0,0
8,424,A6,250,,,,1,0,0,0,0
8,425,A6,250,,,,1,0,0,0,0
8,426,A6,250,,,,0,1,0,0,0
8,427,A6,250,,,,0,1,0,0,0
8,428,A6,250,,,,1,0,0,0,0
8,429,A6,250,,,,1,0,0,0,0
8,430,A6,250,,,,1,0,0,0,0
8,431,A6,250,,,,0,1,0,0,0
8,432,A6,250,,,,1,0,0,0,0
8,433,A6,250,,,,0,1,0,0,0
8,434,A6,250,,,,1,0,0,0,0
8,435,A6,250,,,,1,0,0,0,0
8,436,A6,250,,,,1,0,0,0,0
8,437,A6,250,,,,1,0,0,0,0
8,438,A6,250,,,,1,0,0,0,0
8,439,A6,250,,,,1,0,0,0,0
8,440,A6,250,,,,1,0,0,0,0
8,441,A6,250,,,,1,0,0,0,0
8,442,A6,250,,,,0,1,0,0,0
8,443,A6,250,,,,1,0,0,0,0
8,444,A6,250,,,,1,0,0,0,0
8,445,A6,250,,,,0,1,0,0,0
8,446,A6,250,,,,1,0,0,0,0
8,447,A6,250,,,,1,0,0,0,0
8,448,A6,250,,,,1,0,0,0,0
8,449,A6,250,,,,1,0,0,0,0
8,400,A6,500,,,,0,1,0,0,0
8,401,A6,500,,,,1,0,0,0,0
8,402,A6,500,,,,1,0,0,0,0
8,403,A6,500,,,,1,0,0,0,0
8,404,A6,500,,,,1,0,0,0,0
8,405,A6,500,,,,1,0,0,0,0
8,406,A6,500,,,,1,0,0,0,0
8,407,A6,500,,,,1,0,0,0,0
8,408,A6,500,,,,1,0,0,0,0
8,409,A6,500,,,,0,1,0,0,0
8,410,A6,500,,,,1,0,0,0,0
8,411,A6,500,,,,1,0,0,0,0
8,412,A6,500,,,,0,1,0,0,0
8,413,A6,500,,,,1,0,0,0,0
8,414,A6,500,,,,1,0,0,0,0
8,415,A6,500,,,,1,0,0,0,0
8,416,A6,500,,,,1,0,0,0,0
8,417,A6,500,,,,1,0,0,0,0
8,418,A6,500,,,,1,0,0,0,0
8,419,A6,500,,,,1,0,0,0,0
8,420,A6,500,,,,1,0,0,0,0
8,421,A6,500,,,,1,0,0,0,0
8,422,A6,500,,,,1,0,0,0,0
8,423,A6,500,,,,1,0,0,0,0
8,424,A6,500,,,,1,0,0,0,0
8,425,A6,500,,,,1,0,0,0,0
8,426,A6,500,,,,1,0,0,0,0
8,427,A6,500,,,,1,0,0,0,0
8,428,A6,500,,,,1,0,0,0,0
8,429,A6,500,,,,1,0,0,0,0
8,430,A6,500,,,,1,0,0,0,0
8,431,A6,500,,,,1,0,0,0,0
8,432,A6,500,,,,0,1,0,0,0
8,433,A6,500,,,,1,0,0,0,0
8,434,A6,500,,,,1,0,0,0,0
8,435,A6,500,,,,0,1,0,0,0
8,436,A6,500,,,,1,0,0,0,0
8,437,A6,500,,,,1,0,0,0,0
8,438,A6,500,,,,1,0,0,0,0
8,439,A6,500,,,,1,0,0,0,0
8,440,A6,500,,,,1,0,0,0,0
8,441,A6,500,,,,1,0,0,0,0
8,442,A6,500,,,,0,1,0,0,0
8,443,A6,500,,,,1,0,0,0,0
8,444,A6,500,,,,1,0,0,0,0
8,445,A6,500,,,,1,0,0,0,0
8,446,A6,500,,,,1,0,0,0,0
8,447,A6,500,,,,1,0,0,0,0
8,448,A6,500,,,,1,0,0,0,0
8,449,A6,500,,,,1,0,0,0,0
8,400,A6,1000,,,,1,0,0,0,0
8,401,A6,1000,,,,0,1,0,0,0
8,402,A6,1000,,,,1,0,0,0,0
8,403,A6,1000,,,,0,1,0,0,0
8,404,A6,1000,,,,1,0,0,0,0
8,405,A6,1000,,,,1,0,0,0,0
8,406,A6,1000,,,,1,0,0,0,0
8,407,A6,1000,,,,0,1,0,0,0
8,408,A6,1000,,,,1,0,0,0,0
8,409,A6,1000,,,,1,0,0,0,0
8,410,A6,1000,,,,1,0,0,0,0
8,411,A6,1000,,,,1,0,0,0,0
8,412,A6,1000,,,,1,0,0,0,0
8,413,A6,1000,,,,0,1,0,0,0
8,414,A6,1000,,,,1,0,0,0,0
8,415,A6,1000,,,,1,0,0,0,0
8,416,A6,1000,,,,1,0,0,0,0
8,417,A6,1000,,,,1,0,0,0,0
8,418,A6,1000,,,,1,0,0,0,0
8,419,A6,1000,,,,1,0,0,0,0
8,420,A6,1000,,,,1,0,0,0,0
8,421,A6,1000,,,,1,0,0,0,0
8,422,A6,1000,,,,1,0,0,0,0
8,423,A6,1000,,,,1,0,0,0,0
8,424,A6,1000,,,,1,0,0,0,0
8,425,A6,1000,,,,1,0,0,0,0
8,426,A6,1000,,,,1,0,0,0,0
8,427,A6,1000,,,,1,0,0,0,0
8,428,A6,1000,,,,0,1,0,0,0
8,429,A6,1000,,,,1,0,0,0,0
8,430,A6,1000,,,,1,0,0,0,0
8,431,A6,1000,,,,0,1,0,0,0
8,432,A6,1000,,,,1,0,0,0,0
8,433,A6,1000,,,,1,0,0,0,0
8,434,A6,1000,,,,1,0,0,0,0
8,435,A6,1000,,,,0,1,0,0,0
8,436,A6,1000,,,,0,1,0,0,0
8,437,A6,1000,,,,1,0,0,0,0
8,438,A6,1000,,,,1,0,0,0,0
8,439,A6,1000,,,,1,0,0,0,0
8,440,A6,1000,,,,1,0,0,0,0
8,441,A6,1000,,,,1,0,0,0,0
8,442,A6,1000,,,,1,0,0,0,0
8,443,A6,1000,,,,0,1,0,0,0
8,444,A6,1000,,,,1,0,0,0,0
8,445,A6,1000,,,,1,0,0,0,0
8,446,A6,1000,,,,1,0,0,0,0
8,447,A6,1000,,,,1,0,0,0,0
8,448,A6,1000,,,,1,0,1,0,0
8,449,A6,1000,,,,1,0,0,0,0
8,400,A6,5000,,,,1,0,0,0,0
8,401,A6,5000,,,,1,0,0,0,0
8,402,A6,5000,,,,1,0,0,0,0
8,403,A6,5000,,,,1,0,0,0,0
8,404,A6,5000,,,,1,0,0,0,0
8,405,A6,5000,,,,1,0,0,0,0
8,406,A6,5000,,,,1,0,0,0,0
8,407,A6,5000,,,,1,0,1,0,0
8,408,A6,5000,,,,1,0,0,0,0
8,409,A6,5000,,,,1,0,0,0,0
8,410,A6,5000,,,,1,0,0,0,0
8,411,A6,5000,,,,1,0,0,0,0
8,412,A6,5000,,,,1,0,0,0,0
8,413,A6,5000,,,,1,0,0,0,0
8,414,A6,5000,,,,1,0,0,0,0
8,415,A6,5000,,,,1,0,0,0,0
8,416,A6,5000,,,,1,0,0,0,0
8,417,A6,5000,,,,1,0,0,0,0
8,418,A6,5000,,,,1,0,0,0,0
8,419,A6,5000,,,,1,0,0,0,0
8,420,A6,5000,,,,1,0,0,0,0
8,421,A6,5000,,,,1,0,0,0,0
8,422,A6,5000,,,,1,0,0,0,0
8,423,A6,5000,,,,1,0,0,0,0
8,424,A6,5000,,,,1,0,0,0,0
8,425,A6,5000,,,,0,1,0,0,0
8,426,A6,5000,,,,1,0,0,0,0
8,427,A6,5000,,,,1,0,0,0,0
8,428,A6,5000,,,,1,0,0,0,0
8,429,A6,5000,,,,1,0,0,0,0
8,430,A6,5000,,,,1,0,0,0,0
8,431,A6,5000,,,,1,0,1,0,0
8,432,A6,5000,,,,1,0,0,0,0
8,433,A6,5000,,,,1,0,0,0,0
8,434,A6,5000,,,,1,0,0,0,0
8,435,A6,5000,,,,1,0,0,0,0
8,436,A6,5000,,,,1,0,0,0,0
