chunk,rep,DGP,n,bs,sq,cv,dt,fd,tam,tdip,tzdip
6,300,A6,250,,,,0,1,0,0,0
6,301,A6,250,,,,0,1,0,0,0
6,302,A6,250,,,,1,0,1,0,0
6,303,A6,250,,,,1,0,1,0,0
6,304,A6,250,,,,1,0,0,0,0
6,305,A6,250,,,,0,1,0,0,0
6,306,A6,250,,,,1,0,0,0,0
6,307,A6,250,,,,1,0,0,0,0
6,308,A6,250,,,,0,1,0,0,0
6,309,A6,250,,,,1,0,0,0,0
6,310,A6,250,,,,1,0,0,0,0
6,311,A6,250,,,,1,0,0,0,0
6,312,A6,250,,,,1,0,0,0,0
6,313,A6,250,,,,1,0,0,0,0
6,314,A6,250,,,,1,0,0,0,0
6,315,A6,250,,,,1,0,1,0,0
6,316,A6,250,,,,0,1,0,0,0
6,317,A6,250,,,,1,0,0,0,0
6,318,A6,250,,,,1,0,0,0,0
6,319,A6,250,,,,1,0,0,0,0
6,320,A6,250,,,,1,0,0,0,0
6,321,A6,250,,,,0,1,0,0,0
6,322,A6,250,,,,1,0,0,0,0
6,323,A6,250,,,,1,0,0,0,0
6,324,A6,250,,,,1,0,0,0,0
6,325,A6,250,,,,1,0,0,0,0
6,326,A6,250,,,,1,0,0,0,0
6,327,A6,250,,,,1,0,0,0,0
6,328,A6,250,,,,1,0,0,0,0
6,329,A6,250,,,,1,0,0,0,0
6,330,A6,250,,,,1,0,0,0,0
6,331,A6,250,,,,1,0,0,0,0
6,332,A6,250,,,,1,0,0,0,0
6,333,A6,250,,,,0,1,0,0,0
6,334,A6,250,,,,1,0,0,0,0
6,335,A6,250,,,,1,0,0,0,0
6,336,A6,250,,,,1,0,0,0,0
6,337,A6,250,,,,0,1,0,0,0
6,338,A6,250,,,,0,1,0,0,0
6,339,A6,250,,,,1,0,0,0,0
6,340,A6,250,,,,1,0,0,0,0
6,341,A6,250,,,,1,0,0,0,0
6,342,A6,250,,,,1,0,0,0,0
6,343,A6,250,,,,1,0,0,0,0
6,344,A6,250,,,,0,1,0,0,0
6,345,A6,250,,,,1,0,0,0,0
6,346,A6,250,,,,1,0,0,0,0
6,347,A6,250,,,,0,1,0,0,0
6,348,A6,250,,,,0,1,0,0,0
6,349,A6,250,,,,0,1,0,0,0
6,300,A6,500,,,,1,0,0,0,0
6,301,A6,500,,,,1,0,0,0,0
6,302,A6,500,,,,1,0,0,0,0
6,303,A6,500,,,,1,0,0,0,0
6,304,A6,500,,,,1,0,0,0,0
6,305,A6,500,,,,1,0,0,0,0
6,306,A6,500,,,,1,0,0,0,0
6,307,A6,500,,,,1,0,0,0,0
6,308,A6,500,,,,1,0,0,0,0
6,309,A6,500,,,,1,0,0,0,0
6,310,A6,500,,,,1,0,0,0,0
6,311,A6,500,,,,0,1,0,0,0
6,312,A6,500,,,,1,0,0,0,0
6,313,A6,500,,,,1,0,0,0,0
6,314,A6,500,,,,1,0,0,0,0
6,315,A6,500,,,,0,1,0,0,0
6,316,A6,500,,,,1,0,0,0,0
6,317,A6,500,,,,1,0,0,0,0
6,318,A6,500,,,,1,0,0,0,0
6,319,A6,500,,,,1,0,1,0,0
6,320,A6,500,,,,1,0,0,0,0
6,321,A6,500,,,,1,0,0,0,0
6,322,A6,500,,,,1,0,0,0,0
6,323,A6,500,,,,0,1,0,0,0
6,324,A6,500,,,,1,0,1,0,0
6,325,A6,500,,,,0,1,0,0,0
6,326,A6,500,,,,1,0,0,0,0
6,327,A6,500,,,,1,0,0,0,0
6,328,A6,500,,,,1,0,0,0,0
6,329,A6,500,,,,1,0,0,0,0
6,330,A6,500,,,,1,0,0,0,0
6,331,A6,500,,,,0,1,0,0,0
6,332,A6,500,,,,1,0,0,0,0
6,333,A6,500,,,,1,0,0,0,0
6,334,A6,500,,,,0,1,0,0,0
6,335,A6,500,,,,1,0,0,0,0
6,336,A6,500,,,,1,0,0,0,0
6,337,A6,500,,,,1,0,0,0,0
6,338,A6,500,,,,1,0,0,0,0
6,339,A6,500,,,,1,0,0,0,0
6,340,A6,500,,,,1,0,0,0,0
6,341,A6,500,,,,1,0,0,0,0
6,342,A6,500,,,,1,0,0,0,0
6,343,A6,500,,,,0,1,0,0,0
6,344,A6,500,,,,1,0,0,0,0
6,345,A6,500,,,,1,0,0,0,0
6,346,A6,500,,,,1,0,0,0,0
6,347,A6,500,,,,1,0,0,0,0
6,348,A6,500,,,,1,0,0,0,0
6,349,A6,500,,,,1,0,0,0,0
6,300,A6,1000,,,,1,0,0,0,0
6,301,A6,1000,,,,1,0,0,0,0
6,302,A6,1000,,,,1,0,1,0,0
6,303,A6,1000,,,,1,0,0,0,0
6,304,A6,1000,,,,1,0,0,0,0
6,305,A6,1000,,,,1,0,0,0,0
6,306,A6,1000,,,,1,0,0,0,0
6,307,A6,1000,,,,1,0,0,0,0
6,308,A6,1000,,,,1,0,0,0,0
6,309,A6,1000,,,,1,0,0,0,0
6,310,A6,1000,,,,1,0,0,0,0
6,311,A6,1000,,,,1,0,0,0,0
6,312,A6,1000,,,,0,1,0,0,0
6,313,A6,1000,,,,1,0,0,0,0
6,314,A6,1000,,,,1,0,0,0,0
6,315,A6,1000,,,,1,0,0,0,0
6,316,A6,1000,,,,1,0,0,0,0
6,317,A6,1000,,,,1,0,0,0,0
6,318,A6,1000,,,,1,0,0,0,0
6,319,A6,1000,,,,1,0,0,0,0
6,320,A6,1000,,,,1,0,0,0,0
6,321,A6,1000,,,,1,0,0,0,0
6,322,A6,1000,,,,1,0,0,0,0
6,323,A6,1000,,,,1,0,0,0,0
6,324,A6,1000,,,,1,0,0,0,0
6,325,A6,1000,,,,1,0,0,0,0
6,326,A6,1000,,,,1,0,0,0,0
6,327,A6,1000,,,,1,0,0,0,0
6,328,A6,1000,,,,1,0,0,0,0
6,329,A6,1000,,,,1,0,0,0,0
6,330,A6,1000,,,,1,0,1,0,0
6,331,A6,1000,,,,1,0,0,0,0
6,332,A6,1000,,,,1,0,0,0,0
6,333,A6,1000,,,,1,0,0,0,0
6,334,A6,1000,,,,1,0,0,0,0
6,335,A6,1000,,,,1,0,0,0,0
6,336,A6,1000,,,,1,0,0,0,0
6,337,A6,1000,,,,1,0,0,0,0
6,338,A6,1000,,,,1,0,0,0,0
6,339,A6,1000,,,,1,0,0,0,0
6,340,A6,1000,,,,1,0,0,0,0
6,341,A6,1000,,,,1,0,0,0,0
6,342,A6,1000,,,,1,0,0,0,0
6,343,A6,1000,,,,1,0,0,0,0
6,344,A6,1000,,,,1,0,0,0,0
6,345,A6,1000,,,,0,1,0,0,0
6,346,A6,1000,,,,1,0,0,0,0
6,347,A6,1000,,,,1,0,0,0,0
6,348,A6,1000,,,,1,0,0,0,0
6,349,A6,1000,,,,0,1,0,0,0
6,300,A6,5000,,,,1,0,0,0,0
6,301,A6,5000,,,,1,0,0,0,0
6,302,A6,5000,,,,1,0,0,0,0
6,303,A6,5000,,,,1,0,0,0,0
6,304,A6,5000,,,,1,0,0,0,0
6,305,A6,5000,,,,1,0,0,0,0
6,306,A6,5000,,,,1,0,0,0,0
6,307,A6,5000,,,,1,0,0,0,0
6,308,A6,5000,,,,1,0,0,0,0
6,309,A6,5000,,,,1,0,0,0,0
6,310,A6,5000,,,,1,0,0,0,0
6,311,A6,5000,,,,1,0,0,0,0
6,312,A6,5000,,,,1,0,0,0,0
6,313,A6,5000,,,,1,0,0,0,0
6,314,A6,5000,,,,1,0,0,0,0
6,315,A6,5000,,,,1,0,0,0,0
6,316,A6,5000,,,,1,0,0,0,0
6,317,A6,5000,,,,1,0,0,0,0
6,318,A6,5000,,,,1,0,0,0,0
6,319,A6,5000,,,,1,0,0,0,0
6,320,A6,5000,,,,1,0,0,0,0
6,321,A6,5000,,,,1,0,0,0,0
6,322,A6,5000,,,,0,1,0,0,0
6,323,A6,5000,,,,1,0,0,0,0
6,324,A6,5000,,,,1,0,0,0,0
6,325,A6,5000,,,,1,0,0,0,0
6,326,A6,5000,,,,1,0,0,0,0
6,327,A6,5000,,,,1,0,0,0,0
6,328,A6,5000,,,,1,0,0,0,0
6,329,A6,5000,,,,1,0,0,0,0
6,330,A6,5000,,,,1,0,0,0,0
6,331,A6,5000,,,,1,0,0,0,0
6,332,A6,5000,,,,1,0,0,0,0
6,333,A6,5000,,,,1,0,0,0,0
6,334,A6,5000,,,,1,0,1,0,0
6,335,A6,5000,,,,1,0,0,0,0
6,336,A6,5000,,,,1,0,0,0,0
6,337,A6,5000,,,,1,0,0,0,0
6,338,A6,5000,,,,1,0,0,0,0
6,339,A6,5000,,,,1,0,0,0,0
6,340,A6,5000,,,,1,0,0,0,0
6,341,A6,5000,,,,1,0,0,0,0
6,342,A6,5000,,,,1,0,0,0,0
6,343,A6,5000,,,,1,0,0,0,0
6,344,A6,5000,,,,1,0,0,0,0
6,345,A6,5000,,,,1,0,0,0,0
6,346,A6,5000,,,,1,0,0,0,0
6,347,A6,5000,,,,1,0,0,0,0
6,348,A6,5000,,,,1,0,0,0,0
6,349,A6,5000,,,,1,0,0,0,0
6,300,A1,250,0.08038397328881464,0.006461583161696865,1.0,1,0,0,0,0
6,301,A1,250,-0.11644407345575963,0.013559222242970344,1.0,1,0,0,0,0
