chunk,rep,DGP,n,bs,sq,cv,dt,fd,tam,tdip,tzdip
5,250,A6,250,,,,1,0,0,0,0
5,251,A6,250,,,,1,0,0,0,0
5,252,A6,250,,,,0,1,0,0,0
5,253,A6,250,,,,1,0,0,0,0
5,254,A6,250,,,,1,0,0,0,0
5,255,A6,250,,,,1,0,0,0,0
5,256,A6,250,,,,1,0,0,0,0
5,257,A6,250,,,,0,1,0,0,0
5,258,A6,250,,,,1,0,0,0,0
5,259,A6,250,,,,1,0,0,0,0
5,260,A6,250,,,,1,0,0,0,0
5,261,A6,250,,,,0,1,0,0,0
5,262,A6,250,,,,1,0,0,0,0
5,263,A6,250,,,,1,0,0,0,0
5,264,A6,250,,,,0,1,0,0,0
5,265,A6,250,,,,1,0,0,0,0
5,266,A6,250,,,,1,0,0,0,0
5,267,A6,250,,,,1,0,0,0,0
5,268,A6,250,,,,1,0,0,0,0
5,269,A6,250,,,,1,0,0,0,0
5,270,A6,250,,,,0,1,0,0,0
5,271,A6,250,,,,1,0,0,0,0
5,272,A6,250,,,,1,0,0,0,0
5,273,A6,250,,,,0,1,0,0,0
5,274,A6,250,,,,0,1,0,0,0
5,275,A6,250,,,,1,0,0,0,0
5,276,A6,250,,,,1,0,0,0,0
5,277,A6,250,,,,1,0,0,0,0
5,278,A6,250,,,,1,0,0,0,0
5,279,A6,250,,,,1,0,0,0,0
5,280,A6,250,,,,0,1,0,0,0
5,281,A6,250,,,,0,1,0,0,0
5,282,A6,250,,,,0,1,0,0,0
5,283,A6,250,,,,0,1,0,0,0
5,284,A6,250,,,,1,0,0,0,0
5,285,A6,250,,,,1,0,0,0,0
5,286,A6,250,,,,1,0,0,0,0
5,287,A6,250,,,,1,0,0,0,0
5,288,A6,250,,,,0,1,0,0,0
5,289,A6,250,,,,1,0,0,0,0
5,290,A6,250,,,,0,1,0,0,0
5,291,A6,250,,,,1,0,0,0,0
5,292,A6,250,,,,1,0,0,0,0
5,293,A6,250,,,,1,0,0,0,0
5,294,A6,250,,,,1,0,0,0,0
5,295,A6,250,,,,1,0,0,0,0
5,296,A6,250,,,,1,0,0,0,0
5,297,A6,250,,,,1,0,0,0,0
5,298,A6,250,,,,0,1,0,0,0
5,299,A6,250,,,,1,0,0,0,0
5,250,A6,500,,,,1,0,0,0,0
5,251,A6,500,,,,1,0,0,0,0
5,252,A6,500,,,,1,0,0,0,0
5,253,A6,500,,,,1,0,0,0,0
5,254,A6,500,,,,0,1,0,0,0
5,255,A6,500,,,,1,0,0,0,0
5,256,A6,500,,,,1,0,0,0,0
5,257,A6,500,,,,1,0,0,0,0
5,258,A6,500,,,,1,0,0,0,0
5,259,A6,500,,,,1,0,0,0,0
5,260,A6,500,,,,1,0,0,0,0
5,261,A6,500,,,,1,0,0,0,0
5,262,A6,500,,,,1,0,0,0,0
5,263,A6,500,,,,1,0,0,0,0
5,264,A6,500,,,,1,0,0,0,0
5,265,A6,500,,,,1,0,0,0,0
5,266,A6,500,,,,1,0,0,0,0
5,267,A6,500,,,,1,0,0,0,0
5,268,A6,500,,,,1,0,0,0,0
5,269,A6,500,,,,1,0,0,0,0
5,270,A6,500,,,,1,0,0,0,0
5,271,A6,500,,,,1,0,0,0,0
5,272,A6,500,,,,1,0,0,0,0
5,273,A6,500,,,,1,0,0,0,0
5,274,A6,500,,,,1,0,0,0,0
5,275,A6,500,,,,1,0,1,0,0
5,276,A6,500,,,,1,0,1,0,0
5,277,A6,500,,,,1,0,0,0,0
5,278,A6,500,,,,1,0,0,0,0
5,279,A6,500,,,,1,0,0,0,0
5,280,A6,500,,,,1,0,0,0,0
5,281,A6,500,,,,1,0,0,0,0
5,282,A6,500,,,,1,0,0,0,0
5,283,A6,500,,,,1,0,1,0,0
5,284,A6,500,,,,1,0,0,0,0
5,285,A6,500,,,,1,0,0,0,0
5,286,A6,500,,,,1,0,0,0,0
5,287,A6,500,,,,1,0,0,0,0
5,288,A6,500,,,,0,1,0,0,0
5,289,A6,500,,,,1,0,0,0,0
5,290,A6,500,,,,1,0,0,0,0
5,291,A6,500,,,,0,1,0,0,0
5,292,A6,500,,,,0,1,0,0,0
5,293,A6,500,,,,1,0,0,0,0
5,294,A6,500,,,,0,1,0,0,0
5,295,A6,500,,,,1,0,0,0,0
5,296,A6,500,,,,1,0,0,0,0
5,297,A6,500,,,,1,0,0,0,0
5,298,A6,500,,,,1,0,0,0,0
5,299,A6,500,,,,1,0,0,0,0
5,250,A6,1000,,,,1,0,1,0,0
5,251,A6,1000,,,,1,0,0,0,0
5,252,A6,1000,,,,1,0,0,0,0
5,253,A6,1000,,,,1,0,0,0,0
5,254,A6,1000,,,,1,0,0,0,0
5,255,A6,1000,,,,0,1,0,0,0
5,256,A6,1000,,,,1,0,0,0,0
5,257,A6,1000,,,,1,0,0,0,0
5,258,A6,1000,,,,1,0,0,0,0
5,259,A6,1000,,,,1,0,0,0,0
5,260,A6,1000,,,,1,0,0,0,0
5,261,A6,1000,,,,1,0,0,0,0
5,262,A6,1000,,,,1,0,1,0,0
5,263,A6,1000,,,,1,0,0,0,0
5,264,A6,1000,,,,1,0,0,0,0
5,265,A6,1000,,,,1,0,0,0,0
5,266,A6,1000,,,,1,0,0,0,0
5,267,A6,1000,,,,1,0,0,0,0
5,268,A6,1000,,,,0,1,0,0,0
5,269,A6,1000,,,,1,0,0,0,0
5,270,A6,1000,,,,1,0,0,0,0
5,271,A6,1000,,,,1,0,0,0,0
5,272,A6,1000,,,,0,1,0,0,0
5,273,A6,1000,,,,1,0,0,0,0
5,274,A6,1000,,,,0,1,0,0,0
5,275,A6,1000,,,,1,0,0,0,0
5,276,A6,1000,,,,1,0,0,0,0
5,277,A6,1000,,,,0,1,0,0,0
5,278,A6,1000,,,,1,0,0,0,0
5,279,A6,1000,,,,1,0,0,0,0
5,280,A6,1000,,,,1,0,0,0,0
5,281,A6,1000,,,,1,0,0,0,0
5,282,A6,1000,,,,0,1,0,0,0
5,283,A6,1000,,,,1,0,0,0,0
5,284,A6,1000,,,,1,0,0,0,0
5,285,A6,1000,,,,1,0,0,0,0
5,286,A6,1000,,,,0,1,0,0,0
5,287,A6,1000,,,,1,0,0,0,0
5,288,A6,1000,,,,1,0,0,0,0
5,289,A6,1000,,,,0,1,0,0,0
5,290,A6,1000,,,,1,0,0,0,0
5,291,A6,1000,,,,1,0,0,0,0
5,292,A6,1000,,,,0,1,0,0,0
5,293,A6,1000,,,,0,1,0,0,0
5,294,A6,1000,,,,1,0,0,0,0
5,295,A6,1000,,,,1,0,0,0,0
5,296,A6,1000,,,,1,0,0,0,0
5,297,A6,1000,,,,1,0,0,0,0
5,298,A6,1000,,,,0,1,0,0,0
5,299,A6,1000,,,,1,0,0,0,0
5,250,A6,5000,,,,1,0,0,0,0
5,251,A6,5000,,,,1,0,0,0,0
5,252,A6,5000,,,,1,0,0,0,0
5,253,A6,5000,,,,1,0,0,0,0
5,254,A6,5000,,,,1,0,0,0,0
5,255,A6,5000,,,,1,0,0,0,0
5,256,A6,5000,,,,1,0,0,0,0
5,257,A6,5000,,,,1,0,0,0,0
5,258,A6,5000,,,,1,0,0,0,0
5,259,A6,5000,,,,1,0,0,0,0
5,260,A6,5000,,,,1,0,0,0,0
5,261,A6,5000,,,,1,0,0,0,0
