chunk,rep,DGP,n,bs,sq,cv,dt,fd,tam,tdip,tzdip
4,200,A6,250,,,,1,0,0,0,0
4,201,A6,250,,,,0,1,0,0,0
4,202,A6,250,,,,0,1,0,0,0
4,203,A6,250,,,,0,1,0,0,0
4,204,A6,250,,,,0,1,0,0,0
4,205,A6,250,,,,1,0,0,0,0
4,206,A6,250,,,,1,0,0,0,0
4,207,A6,250,,,,1,0,0,0,0
4,208,A6,250,,,,0,1,0,0,0
4,209,A6,250,,,,0,1,0,0,0
4,210,A6,250,,,,1,0,0,0,0
4,211,A6,250,,,,1,0,0,0,0
4,212,A6,250,,,,1,0,0,0,0
4,213,A6,250,,,,1,0,1,0,0
4,214,A6,250,,,,0,1,0,0,0
4,215,A6,250,,,,0,1,0,0,0
4,216,A6,250,,,,1,0,0,0,0
4,217,A6,250,,,,0,1,0,0,0
4,218,A6,250,,,,1,0,0,0,0
4,219,A6,250,,,,0,1,0,0,0
4,220,A6,250,,,,1,0,0,0,0
4,221,A6,250,,,,0,1,1,0,0
4,222,A6,250,,,,1,0,0,0,0
4,223,A6,250,,,,1,0,1,0,0
4,224,A6,250,,,,0,1,0,0,0
4,225,A6,250,,,,1,0,0,0,0
4,226,A6,250,,,,1,0,0,0,0
4,227,A6,250,,,,1,0,0,0,0
4,228,A6,250,,,,0,1,0,0,0
4,229,A6,250,,,,1,0,0,0,0
4,230,A6,250,,,,0,1,0,0,0
4,231,A6,250,,,,0,1,0,0,0
4,232,A6,250,,,,1,0,0,0,0
4,233,A6,250,,,,1,0,0,0,0
4,234,A6,250,,,,0,1,0,0,0
4,235,A6,250,,,,1,0,0,0,0
4,236,A6,250,,,,0,1,0,0,0
4,237,A6,250,,,,1,0,0,0,0
4,238,A6,250,,,,0,1,0,0,0
4,239,A6,250,,,,1,0,0,0,0
4,240,A6,250,,,,1,0,0,0,0
4,241,A6,250,,,,1,0,0,0,0
4,242,A6,250,,,,1,0,0,0,0
4,243,A6,250,,,,1,0,1,0,0
4,244,A6,250,,,,0,1,0,0,0
4,245,A6,250,,,,0,1,0,0,0
4,246,A6,250,,,,1,0,0,0,0
4,247,A6,250,,,,1,0,0,0,0
4,248,A6,250,,,,1,0,0,0,0
4,249,A6,250,,,,0,1,0,0,0
4,200,A6,500,,,,1,0,0,0,0
4,201,A6,500,,,,1,0,0,0,0
4,202,A6,500,,,,1,0,0,0,0
4,203,A6,500,,,,1,0,0,0,0
4,204,A6,500,,,,1,0,0,0,0
4,205,A6,500,,,,1,0,0,0,0
4,206,A6,500,,,,0,1,0,0,0
4,207,A6,500,,,,1,0,0,0,0
4,208,A6,500,,,,1,0,0,0,0
4,209,A6,500,,,,1,0,0,0,0
4,210,A6,500,,,,1,0,0,0,0
4,211,A6,500,,,,1,0,0,0,0
4,212,A6,500,,,,1,0,0,0,0
4,213,A6,500,,,,1,0,0,0,0
4,214,A6,500,,,,0,1,0,0,0
4,215,A6,500,,,,0,1,0,0,0
4,216,A6,500,,,,1,0,0,0,0
4,217,A6,500,,,,1,0,0,0,0
4,218,A6,500,,,,1,0,0,0,0
4,219,A6,500,,,,1,0,0,0,0
4,220,A6,500,,,,1,0,0,0,0
4,221,A6,500,,,,0,1,0,0,0
4,222,A6,500,,,,1,0,0,0,0
4,223,A6,500,,,,1,0,0,0,0
4,224,A6,500,,,,1,0,0,0,0
4,225,A6,500,,,,0,1,0,0,0
4,226,A6,500,,,,1,0,0,0,0
4,227,A6,500,,,,1,0,0,0,0
4,228,A6,500,,,,1,0,0,0,0
4,229,A6,500,,,,1,0,0,0,0
4,230,A6,500,,,,1,0,0,0,0
4,231,A6,500,,,,1,0,0,0,0
4,232,A6,500,,,,1,0,0,0,0
4,233,A6,500,,,,1,0,0,0,0
4,234,A6,500,,,,1,0,0,0,0
4,235,A6,500,,,,1,0,0,0,0
4,236,A6,500,,,,1,0,0,0,0
4,237,A6,500,,,,1,0,0,0,0
4,238,A6,500,,,,1,0,1,0,0
4,239,A6,500,,,,0,1,0,0,0
4,240,A6,500,,,,1,0,0,0,0
4,241,A6,500,,,,1,0,1,0,0
4,242,A6,500,,,,1,0,0,0,0
