chunk,rep,DGP,n,bs,sq,cv,dt,fd,tam,tdip,tzdip
7,350,A6,250,,,,0,1,0,0,0
7,351,A6,250,,,,1,0,0,0,0
7,352,A6,250,,,,1,0,0,0,0
7,353,A6,250,,,,0,1,0,0,0
7,354,A6,250,,,,0,1,0,0,0
7,355,A6,250,,,,1,0,0,0,0
7,356,A6,250,,,,1,0,0,0,0
7,357,A6,250,,,,1,0,0,0,0
7,358,A6,250,,,,0,1,0,0,0
7,359,A6,250,,,,0,1,0,0,0
7,360,A6,250,,,,1,0,0,0,0
7,361,A6,250,,,,1,0,0,0,0
7,362,A6,250,,,,1,0,0,0,0
7,363,A6,250,,,,0,1,0,0,0
7,364,A6,250,,,,1,0,0,0,0
7,365,A6,250,,,,0,1,0,0,0
7,366,A6,250,,,,0,1,0,0,0
7,367,A6,250,,,,1,0,0,0,0
7,368,A6,250,,,,1,0,0,0,0
7,369,A6,250,,,,0,1,0,0,0
7,370,A6,250,,,,1,0,0,0,0
7,371,A6,250,,,,1,0,0,0,0
7,372,A6,250,,,,1,0,0,0,0
7,373,A6,250,,,,1,0,0,0,0
7,374,A6,250,,,,1,0,0,0,0
7,375,A6,250,,,,1,0,0,0,0
7,376,A6,250,,,,1,0,0,0,0
7,377,A6,250,,,,1,0,0,0,0
7,378,A6,250,,,,1,0,0,0,0
7,379,A6,250,,,,1,0,0,0,0
7,380,A6,250,,,,0,1,0,0,0
7,381,A6,250,,,,1,0,0,0,0
7,382,A6,250,,,,0,1,0,0,0
7,383,A6,250,,,,0,1,0,0,0
7,384,A6,250,,,,1,0,0,0,0
7,385,A6,250,,,,0,1,0,0,0
7,386,A6,250,,,,1,0,0,0,0
7,387,A6,250,,,,0,1,0,0,0
7,388,A6,250,,,,0,1,0,0,0
7,389,A6,250,,,,1,0,0,0,0
7,390,A6,250,,,,1,0,0,0,0
7,391,A6,250,,,,0,1,0,0,0
7,392,A6,250,,,,0,1,0,0,0
7,393,A6,250,,,,1,0,0,0,0
7,394,A6,250,,,,1,0,0,0,0
7,395,A6,250,,,,1,0,0,0,0
7,396,A6,250,,,,0,1,0,0,0
7,397,A6,250,,,,1,0,0,0,0
7,398,A6,250,,,,1,0,0,0,0
7,399,A6,250,,,,1,0,0,0,0
7,350,A6,500,,,,1,0,0,0,0
