chunk,rep,DGP,n,bs,sq,cv,dt,fd,tam,tdip,tzdip
2,100,A6,250,,,,1,0,0,0,0
2,101,A6,250,,,,1,0,0,0,0
2,102,A6,250,,,,1,0,0,0,0
2,103,A6,250,,,,1,0,0,0,0
2,104,A6,250,,,,0,1,0,0,0
2,105,A6,250,,,,1,0,0,0,0
2,106,A6,250,,,,1,0,0,0,0
2,107,A6,250,,,,1,0,0,0,0
2,108,A6,250,,,,1,0,0,0,0
2,109,A6,250,,,,1,0,1,0,0
2,110,A6,250,,,,1,0,0,0,0
2,111,A6,250,,,,1,0,0,0,0
2,112,A6,250,,,,1,0,0,0,0
2,113,A6,250,,,,0,1,0,0,0
2,114,A6,250,,,,1,0,0,0,0
2,115,A6,250,,,,1,0,0,0,0
2,116,A6,250,,,,1,0,0,0,0
2,117,A6,250,,,,1,0,0,0,0
2,118,A6,250,,,,1,0,0,0,0
2,119,A6,250,,,,0,1,0,0,0
2,120,A6,250,,,,1,0,0,0,0
2,121,A6,250,,,,1,0,1,0,0
2,122,A6,250,,,,1,0,0,0,0
2,123,A6,250,,,,1,0,0,0,0
2,124,A6,250,,,,1,0,0,0,0
2,125,A6,250,,,,1,0,0,0,0
2,126,A6,250,,,,1,0,0,0,0
2,127,A6,250,,,,1,0,0,0,0
2,128,A6,250,,,,1,0,0,0,0
2,129,A6,250,,,,1,0,0,0,0
2,130,A6,250,,,,1,0,0,0,0
2,131,A6,250,,,,0,1,0,0,0
2,132,A6,250,,,,1,0,1,0,0
2,133,A6,250,,,,0,1,0,0,0
2,134,A6,250,,,,1,0,0,0,0
2,135,A6,250,,,,1,0,0,0,0
2,136,A6,250,,,,1,0,0,0,0
2,137,A6,250,,,,0,1,0,0,0
2,138,A6,250,,,,1,0,0,0,0
2,139,A6,250,,,,1,0,0,0,0
2,140,A6,250,,,,1,0,0,0,0
2,141,A6,250,,,,1,0,0,0,0
2,142,A6,250,,,,1,0,0,0,0
2,143,A6,250,,,,1,0,0,0,0
2,144,A6,250,,,,1,0,0,0,0
2,145,A6,250,,,,1,0,0,0,0
2,146,A6,250,,,,1,0,0,0,0
2,147,A6,250,,,,1,0,0,0,0
2,148,A6,250,,,,1,0,0,0,0
2,149,A6,250,,,,1,0,0,0,0
2,100,A6,500,,,,1,0,0,0,0
2,101,A6,500,,,,0,1,0,0,0
2,102,A6,500,,,,1,0,1,0,0
2,103,A6,500,,,,1,0,0,0,0
2,104,A6,500,,,,1,0,0,0,0
2,105,A6,500,,,,1,0,0,0,0
2,106,A6,500,,,,1,0,0,0,0
2,107,A6,500,,,,1,0,1,0,0
2,108,A6,500,,,,0,1,0,0,0
2,109,A6,500,,,,1,0,0,0,0
2,110,A6,500,,,,0,1,0,0,0
2,111,A6,500,,,,1,0,0,0,0
2,112,A6,500,,,,1,0,0,0,0
2,113,A6,500,,,,1,0,0,0,0
2,114,A6,500,,,,1,0,0,0,0
2,115,A6,500,,,,1,0,0,0,0
2,116,A6,500,,,,1,0,0,0,0
2,117,A6,500,,,,1,0,0,0,0
2,118,A6,500,,,,1,0,0,0,0
2,119,A6,500,,,,0,1,0,0,0
2,120,A6,500,,,,1,0,0,0,0
2,121,A6,500,,,,1,0,0,0,0
2,122,A6,500,,,,1,0,0,0,0
2,123,A6,500,,,,1,0,1,0,0
2,124,A6,500,,,,1,0,0,0,0
2,125,A6,500,,,,1,0,0,0,0
2,126,A6,500,,,,1,0,0,0,0
2,127,A6,500,,,,1,0,0,0,0
2,128,A6,500,,,,1,0,0,0,0
2,129,A6,500,,,,1,0,0,0,0
2,130,A6,500,,,,1,0,0,0,0
2,131,A6,500,,,,1,0,0,0,0
2,132,A6,500,,,,1,0,0,0,0
2,133,A6,500,,,,1,0,0,0,0
2,134,A6,500,,,,1,0,0,0,0
2,135,A6,500,,,,1,0,0,0,0
2,136,A6,500,,,,1,0,0,0,0
2,137,A6,500,,,,0,1,0,0,0
2,138,A6,500,,,,1,0,0,0,0
2,139,A6,500,,,,1,0,0,0,0
2,140,A6,500,,,,1,0,0,0,0
2,141,A6,500,,,,1,0,0,0,0
2,142,A6,500,,,,1,0,0,0,0
2,143,A6,500,,,,0,1,0,0,0
2,144,A6,500,,,,1,0,0,0,0
2,145,A6,500,,,,1,0,0,0,0
2,146,A6,500,,,,1,0,1,0,0
2,147,A6,500,,,,1,0,0,0,0
2,148,A6,500,,,,1,0,0,0,0
2,149,A6,500,,,,1,0,0,0,0
2,100,A6,1000,,,,1,0,0,0,0
2,101,A6,1000,,,,1,0,0,0,0
2,102,A6,1000,,,,1,0,1,0,0
2,103,A6,1000,,,,1,0,0,0,0
2,104,A6,1000,,,,1,0,0,0,0
2,105,A6,1000,,,,1,0,0,0,0
2,106,A6,1000,,,,1,0,0,0,0
2,107,A6,1000,,,,1,0,0,0,0
2,108,A6,1000,,,,1,0,0,0,0
2,109,A6,1000,,,,1,0,0,0,0
2,110,A6,1000,,,,1,0,0,0,0
2,111,A6,1000,,,,1,0,0,0,0
2,112,A6,1000,,,,1,0,0,0,0
2,113,A6,1000,,,,1,0,0,0,0
2,114,A6,1000,,,,1,0,0,0,0
2,115,A6,1000,,,,0,1,0,0,0
2,116,A6,1000,,,,1,0,0,0,0
2,117,A6,1000,,,,1,0,0,0,0
