chunk,rep,DGP,n,bs,sq,cv,dt,fd,tam,tdip,tzdip
3,150,A6,250,,,,1,0,0,0,0
3,151,A6,250,,,,1,0,0,0,0
3,152,A6,250,,,,1,0,0,0,0
3,153,A6,250,,,,1,0,0,0,0
3,154,A6,250,,,,1,0,0,0,0
3,155,A6,250,,,,1,0,0,0,0
3,156,A6,250,,,,1,0,0,0,0
3,157,A6,250,,,,1,0,0,0,0
3,158,A6,250,,,,1,0,0,0,0
3,159,A6,250,,,,1,0,0,0,0
3,160,A6,250,,,,1,0,0,0,0
3,161,A6,250,,,,1,0,0,0,0
3,162,A6,250,,,,1,0,0,0,0
3,163,A6,250,,,,1,0,0,0,0
3,164,A6,250,,,,1,0,0,0,0
3,165,A6,250,,,,1,0,0,0,0
3,166,A6,250,,,,1,0,1,0,0
3,167,A6,250,,,,0,1,0,0,0
3,168,A6,250,,,,0,1,0,0,0
3,169,A6,250,,,,1,0,0,0,0
3,170,A6,250,,,,1,0,0,0,0
3,171,A6,250,,,,1,0,0,0,0
3,172,A6,250,,,,0,1,0,0,0
3,173,A6,250,,,,1,0,0,0,0
3,174,A6,250,,,,1,0,0,0,0
3,175,A6,250,,,,1,0,0,0,0
3,176,A6,250,,,,1,0,0,0,0
3,177,A6,250,,,,1,0,0,0,0
3,178,A6,250,,,,1,0,0,0,0
3,179,A6,250,,,,1,0,0,0,0
3,180,A6,250,,,,1,0,0,0,0
3,181,A6,250,,,,1,0,0,0,0
3,182,A6,250,,,,1,0,0,0,0
3,183,A6,250,,,,0,1,0,0,0
3,184,A6,250,,,,1,0,0,0,0
3,185,A6,250,,,,1,0,0,0,0
3,186,A6,250,,,,1,0,0,0,0
3,187,A6,250,,,,1,0,0,0,0
3,188,A6,250,,,,1,0,0,0,0
3,189,A6,250,,,,1,0,0,0,0
3,190,A6,250,,,,1,0,1,0,0
3,191,A6,250,,,,1,0,0,0,0
3,192,A6,250,,,,0,1,0,0,0
3,193,A6,250,,,,1,0,0,0,0
3,194,A6,250,,,,1,0,0,0,0
3,195,A6,250,,,,1,0,0,0,0
3,196,A6,250,,,,0,1,0,0,0
3,197,A6,250,,,,0,1,0,0,0
3,198,A6,250,,,,0,1,1,0,0
3,199,A6,250,,,,1,0,0,0,0
3,150,A6,500,,,,1,0,0,0,0
3,151,A6,500,,,,0,1,0,0,0
3,152,A6,500,,,,1,0,0,0,0
3,153,A6,500,,,,1,0,0,0,0
3,154,A6,500,,,,1,0,0,0,0
3,155,A6,500,,,,1,0,0,0,0
3,156,A6,500,,,,1,0,0,0,0
3,157,A6,500,,,,1,0,0,0,0
3,158,A6,500,,,,0,1,0,0,0
3,159,A6,500,,,,1,0,0,0,0
3,160,A6,500,,,,1,0,0,0,0
3,161,A6,500,,,,1,0,0,0,0
3,162,A6,500,,,,1,0,0,0,0
3,163,A6,500,,,,1,0,0,0,0
3,164,A6,500,,,,1,0,0,0,0
3,165,A6,500,,,,1,0,0,0,0
3,166,A6,500,,,,1,0,0,0,0
3,167,A6,500,,,,1,0,0,0,0
3,168,A6,500,,,,1,0,0,0,0
3,169,A6,500,,,,1,0,0,0,0
3,170,A6,500,,,,1,0,0,0,0
3,171,A6,500,,,,1,0,0,0,0
3,172,A6,500,,,,1,0,0,0,0
3,173,A6,500,,,,1,0,0,0,0
3,174,A6,500,,,,1,0,0,0,0
3,175,A6,500,,,,1,0,1,0,0
3,176,A6,500,,,,1,0,0,0,0
3,177,A6,500,,,,1,0,0,0,0
