chunk,rep,DGP,n,bs,sq,cv,dt,fd,tam,tdip,tzdip
0,0,A6,250,,,,1,0,0,0,0
0,1,A6,250,,,,0,1,0,0,0
0,2,A6,250,,,,1,0,0,0,0
0,3,A6,250,,,,0,1,0,0,0
0,4,A6,250,,,,1,0,0,0,0
0,5,A6,250,,,,0,1,0,0,0
0,6,A6,250,,,,0,1,0,0,0
0,7,A6,250,,,,1,0,0,0,0
0,8,A6,250,,,,0,1,0,0,0
0,9,A6,250,,,,1,0,0,0,0
0,10,A6,250,,,,0,1,0,0,0
0,11,A6,250,,,,1,0,0,0,0
0,12,A6,250,,,,1,0,0,0,0
0,13,A6,250,,,,1,0,0,0,0
0,14,A6,250,,,,0,1,0,0,0
0,15,A6,250,,,,1,0,0,0,0
0,16,A6,250,,,,1,0,0,0,0
0,17,A6,250,,,,1,0,0,0,0
0,18,A6,250,,,,0,1,0,0,0
0,19,A6,250,,,,1,0,0,0,0
0,20,A6,250,,,,0,1,0,0,0
0,21,A6,250,,,,1,0,0,0,0
0,22,A6,250,,,,0,1,0,0,0
0,23,A6,250,,,,1,0,0,0,0
0,24,A6,250,,,,1,0,0,0,0
0,25,A6,250,,,,1,0,0,0,0
0,26,A6,250,,,,1,0,0,0,0
0,27,A6,250,,,,1,0,0,0,0
0,28,A6,250,,,,1,0,0,0,0
0,29,A6,250,,,,0,1,0,0,0
0,30,A6,250,,,,1,0,0,0,0
0,31,A6,250,,,,1,0,0,0,0
0,32,A6,250,,,,1,0,0,0,0
0,33,A6,250,,,,1,0,0,0,0
0,34,A6,250,,,,0,1,0,0,0
0,35,A6,250,,,,0,1,0,0,0
0,36,A6,250,,,,1,0,1,0,0
0,37,A6,250,,,,1,0,0,0,0
0,38,A6,250,,,,0,1,0,0,0
0,39,A6,250,,,,1,0,0,0,0
0,40,A6,250,,,,0,1,0,0,0
0,41,A6,250,,,,0,1,0,0,0
0,42,A6,250,,,,1,0,0,0,0
0,43,A6,250,,,,1,0,0,0,0
0,44,A6,250,,,,1,0,0,0,0
0,45,A6,250,,,,0,1,0,0,0
0,46,A6,250,,,,1,0,0,0,0
0,47,A6,250,,,,0,1,1,0,0
0,48,A6,250,,,,1,0,0,0,0
0,49,A6,250,,,,1,0,0,0,0
0,0,A6,500,,,,1,0,0,0,0
0,1,A6,500,,,,1,0,0,0,0
0,2,A6,500,,,,1,0,0,0,0
0,3,A6,500,,,,1,0,0,0,0
0,4,A6,500,,,,1,0,0,0,0
0,5,A6,500,,,,1,0,0,0,0
0,6,A6,500,,,,0,1,0,0,0
0,7,A6,500,,,,0,1,0,0,0
0,8,A6,500,,,,1,0,0,0,0
0,9,A6,500,,,,1,0,0,0,0
0,10,A6,500,,,,1,0,0,0,0
0,11,A6,500,,,,1,0,0,0,0
0,12,A6,500,,,,0,1,0,0,0
0,13,A6,500,,,,1,0,0,0,0
0,14,A6,500,,,,1,0,0,0,0
0,15,A6,500,,,,1,0,0,0,0
0,16,A6,500,,,,0,1,0,0,0
0,17,A6,500,,,,1,0,0,0,0
0,18,A6,500,,,,1,0,0,0,0
0,19,A6,500,,,,1,0,0,0,0
